Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
India,2009,Ergonomic methodical algorithm,Unmanned,Gonzaleztown,Research,16.47,56,Nuclear Propulsion,High,"Germany, USA",104
Russia,2005,Up-sized 4thgeneration extranet,Manned,South Leah,Navigation,7.17,84,Nuclear Propulsion,Low,"China, Japan",68
Germany,2013,Secured transitional alliance,Unmanned,Josephfort,Weather,13.72,89,AI Navigation,Low,"Germany, India",15
Japan,2025,Profound background synergy,Manned,North William,Communication,9.92,55,Solar Propulsion,Medium,"USA, Israel",28
India,2025,Versatile upward-trending instruction set,Manned,Guzmantown,Weather,28.78,55,AI Navigation,Low,UK,330
UAE,2017,Upgradable global concept,Unmanned,Cooperland,Weather,45.04,54,AI Navigation,High,"India, Germany, Russia",144
China,2003,Seamless next generation success,Unmanned,Heatherfurt,Spy,11.91,62,Solar Propulsion,High,Israel,246
India,2004,Ameliorated maximized Local Area Network,Unmanned,Lake Rebecca,Research,44.52,83,Traditional Rocket,High,"France, Israel",214
UK,2018,Face-to-face even-keeled archive,Manned,Richardborough,Communication,36.28,51,Reusable Rocket,Low,"France, USA, UK",237
Japan,2012,Expanded actuating solution,Unmanned,East Janebury,Weather,9.48,93,Nuclear Propulsion,High,Russia,305
Israel,2004,Enhanced fault-tolerant solution,Manned,South Samantha,Weather,20.44,54,Traditional Rocket,Low,UAE,167
Japan,2016,Optional national throughput,Manned,North David,Research,32.58,97,Solar Propulsion,Low,"Israel, France",248
France,2023,User-centric discrete info-mediaries,Unmanned,Amandashire,Navigation,26.23,69,Solar Propulsion,High,"Israel, Germany",327
Israel,2021,Automated 24hour matrix,Manned,Lake Kristinshire,Spy,42.24,57,AI Navigation,High,France,154
France,2023,Streamlined explicit Graphical User Interface,Unmanned,Port Bonnieport,Communication,14.39,97,Traditional Rocket,High,"Japan, USA",51
USA,2004,Enterprise-wide object-oriented policy,Unmanned,Port Zacharyton,Spy,44.1,68,Nuclear Propulsion,Low,"India, Israel",307
UAE,2013,Re-contextualized mobile database,Manned,West Davidfurt,Communication,47.12,95,Traditional Rocket,High,"China, UK",251
China,2009,Networked leadingedge utilization,Manned,North Sarahfurt,Research,43.25,52,Traditional Rocket,Low,Russia,57
Germany,2009,Secured non-volatile policy,Manned,East Xavierborough,Research,17.12,55,AI Navigation,Medium,Russia,63
Germany,2013,Innovative uniform complexity,Unmanned,Port Jenna,Navigation,43.65,59,AI Navigation,Low,"India, USA, UAE",365
China,2000,Enterprise-wide 24hour data-warehouse,Unmanned,South Nancy,Spy,45.66,62,Reusable Rocket,Medium,"UK, Israel",252
Israel,2005,Managed radical info-mediaries,Manned,Richardsonfurt,Spy,48.27,52,Nuclear Propulsion,High,"Japan, India",169
Israel,2025,Optimized logistical collaboration,Unmanned,Lake Jeffrey,Navigation,12.36,83,Reusable Rocket,Medium,"Israel, UK, Germany",169
UK,2021,Vision-oriented scalable flexibility,Manned,Mirandaberg,Navigation,10.88,71,Solar Propulsion,Low,"Japan, Russia",153
Germany,2021,Cross-platform neutral implementation,Manned,Natalieborough,Navigation,6.92,58,Traditional Rocket,Medium,"UAE, Israel, China",93
Israel,2007,Down-sized bottom-line parallelism,Unmanned,Kimberlybury,Weather,40.83,81,Solar Propulsion,High,"USA, China",237
Japan,2024,Integrated content-based flexibility,Manned,Murrayfort,Spy,25.15,52,Nuclear Propulsion,Low,India,216
Germany,2005,Progressive web-enabled hierarchy,Manned,Perezstad,Weather,11.98,100,Traditional Rocket,High,UK,62
Russia,2001,Fundamental intermediate algorithm,Unmanned,West James,Navigation,36.75,59,Nuclear Propulsion,High,UAE,40
Japan,2015,Advanced explicit archive,Unmanned,Reynoldsmouth,Spy,30.25,87,Reusable Rocket,Medium,"India, Russia, China",107
Russia,2020,Versatile empowering initiative,Unmanned,South Ryan,Research,10.76,91,Traditional Rocket,High,"UK, France, China",343
Germany,2022,Cross-group directional neural-net,Unmanned,Thompsonton,Communication,25.22,64,Reusable Rocket,Low,India,144
Israel,2009,De-engineered cohesive process improvement,Manned,Alvaradohaven,Spy,27.3,56,Traditional Rocket,Medium,USA,321
Russia,2024,Balanced optimizing leverage,Manned,Deanchester,Weather,46.96,54,AI Navigation,Low,UK,235
USA,2004,Triple-buffered explicit collaboration,Unmanned,West Jaclynfort,Communication,31.82,83,Reusable Rocket,Medium,"China, Russia",78
India,2024,Adaptive 24hour utilization,Unmanned,Hinesbury,Spy,6.81,74,Solar Propulsion,Medium,"India, UK, UAE",177
UAE,2015,Diverse human-resource extranet,Unmanned,Port Joshuaville,Navigation,41.19,58,Nuclear Propulsion,Low,"Germany, Russia, UAE",48
China,2003,Reduced dedicated matrices,Manned,South Eric,Weather,49.23,56,Nuclear Propulsion,High,"Japan, Israel",113
France,2020,Sharable 24/7 superstructure,Manned,West Jesus,Communication,4.63,93,Reusable Rocket,Medium,"UAE, UK, France",178
Japan,2005,Optimized actuating hierarchy,Unmanned,West Angela,Navigation,30.4,61,Reusable Rocket,High,France,10
USA,2014,Team-oriented scalable task-force,Manned,Port Rebecca,Weather,41.51,64,Solar Propulsion,Low,Israel,96
Japan,2022,Inverse mission-critical open system,Manned,Daviston,Navigation,8.01,96,Nuclear Propulsion,High,"Germany, UAE",179
Japan,2022,User-centric 6thgeneration challenge,Unmanned,Webbbury,Research,44.18,54,Nuclear Propulsion,High,"Germany, Israel, UK",316
UK,2009,Implemented maximized capability,Manned,Mccartytown,Weather,12.38,79,Solar Propulsion,Medium,UAE,311
Israel,2022,Persevering zero administration support,Unmanned,New Gary,Weather,5.02,97,Nuclear Propulsion,Low,"China, France",311
Israel,2012,Business-focused transitional task-force,Manned,Lake Erikamouth,Navigation,27.52,100,Solar Propulsion,High,"Israel, Germany, USA",153
Germany,2024,Future-proofed hybrid extranet,Unmanned,Port Hannahside,Communication,49.53,56,AI Navigation,Medium,"UAE, China, Israel",36
USA,2017,Expanded explicit superstructure,Manned,New Brianmouth,Research,3.81,53,Reusable Rocket,Low,Russia,6
France,2025,Universal multimedia intranet,Manned,South Ana,Spy,25.13,71,Solar Propulsion,Low,France,238
India,2000,Ameliorated client-driven software,Manned,Paulaberg,Research,40.44,79,Solar Propulsion,Medium,"France, China",209
India,2025,Switchable high-level benchmark,Manned,Davidton,Research,30.99,56,Nuclear Propulsion,High,USA,208
India,2021,Fully-configurable disintermediate adapter,Unmanned,New Cynthiaport,Communication,41.84,62,Solar Propulsion,Medium,"UAE, Israel",166
Germany,2025,Re-engineered demand-driven protocol,Unmanned,Lake Nicholas,Communication,27.23,62,Nuclear Propulsion,High,France,205
Russia,2003,Reactive 3rdgeneration Local Area Network,Unmanned,Port Jennifer,Communication,14.7,71,Solar Propulsion,Medium,"Russia, India, China",281
Japan,2005,Integrated multi-tasking definition,Manned,Parkborough,Navigation,38.42,84,Nuclear Propulsion,High,"USA, Israel, France",203
France,2016,Multi-lateral composite budgetary management,Manned,Amandastad,Weather,33.18,63,Reusable Rocket,High,"UK, Germany, China",221
France,2001,Up-sized system-worthy encryption,Unmanned,South Sierraport,Weather,18.89,52,Solar Propulsion,Medium,"China, Russia, UAE",291
USA,2022,Ameliorated heuristic projection,Manned,Port Justin,Navigation,8.51,50,Nuclear Propulsion,Low,"India, Israel, UAE",353
UAE,2011,Synergized multi-tasking hardware,Unmanned,Nguyenton,Weather,16.98,95,Nuclear Propulsion,High,"India, Russia",98
France,2006,Ergonomic upward-trending approach,Unmanned,Ballmouth,Weather,19.32,84,Nuclear Propulsion,High,"Germany, Japan",209
India,2008,De-engineered attitude-oriented frame,Unmanned,Carterberg,Spy,6.53,87,Traditional Rocket,High,"Japan, USA, France",315
Israel,2015,Profound neutral system engine,Manned,West Charles,Weather,38.21,56,Reusable Rocket,Low,"France, UK",341
China,2009,Total heuristic hardware,Unmanned,South Jamesstad,Navigation,24.06,57,Nuclear Propulsion,High,USA,73
India,2025,Vision-oriented user-facing software,Manned,Stephenburgh,Research,9.87,91,Solar Propulsion,High,"UK, India, Russia",255
UAE,2012,Enterprise-wide zero administration data-warehouse,Manned,West Maryshire,Spy,4.82,50,Nuclear Propulsion,Medium,"Germany, Japan, France",52
Israel,2010,Exclusive homogeneous ability,Manned,South Micheleville,Weather,31.77,70,Solar Propulsion,Medium,"Israel, Japan, China",295
Russia,2011,Down-sized background ability,Manned,Alexanderchester,Research,30.07,56,Nuclear Propulsion,Medium,"France, Germany, USA",97
USA,2004,Compatible fresh-thinking data-warehouse,Manned,East Michaeltown,Spy,31.87,53,Reusable Rocket,High,"Russia, USA, Germany",223
Russia,2012,Re-engineered impactful implementation,Manned,West Jennifer,Navigation,38.56,86,AI Navigation,High,"Israel, USA, China",151
France,2008,Ameliorated dynamic support,Unmanned,Lammouth,Spy,7.53,100,Nuclear Propulsion,Medium,"France, UK",205
China,2011,Implemented object-oriented policy,Manned,West Elizabeth,Communication,42.35,66,Nuclear Propulsion,High,"Israel, Russia",110
China,2007,Face-to-face needs-based migration,Manned,Lake Pamelabury,Spy,46.16,74,Traditional Rocket,High,"Russia, Japan, China",133
Israel,2000,Virtual incremental approach,Manned,Port Deniseburgh,Research,31.98,67,Nuclear Propulsion,High,France,203
Russia,2007,Open-source contextually-based core,Manned,Sotoland,Navigation,1.62,65,Solar Propulsion,Medium,"China, Japan",234
China,2020,Compatible actuating circuit,Manned,West Bradleyside,Weather,5.01,99,Nuclear Propulsion,Low,"UK, Japan, India",90
Israel,2002,Progressive well-modulated Graphical User Interface,Manned,Andersonbury,Weather,22.01,52,AI Navigation,High,"Germany, France, China",195
France,2001,Virtual executive core,Unmanned,Callahanstad,Spy,41.41,77,Reusable Rocket,Medium,"USA, Russia, Japan",178
UAE,2021,Realigned zero tolerance core,Unmanned,North Michael,Navigation,7.5,59,Solar Propulsion,Medium,"France, UAE",78
USA,2009,Polarized static customer loyalty,Unmanned,Stuartfurt,Weather,42.55,63,AI Navigation,High,"China, Japan",198
UK,2013,Persistent impactful software,Manned,Connieberg,Weather,1.94,67,Traditional Rocket,Low,"China, Japan",205
USA,2003,Public-key full-range data-warehouse,Unmanned,South Jeffreyland,Navigation,47.91,96,Reusable Rocket,Low,"Israel, USA, Japan",86
USA,2005,Fundamental full-range structure,Unmanned,Lake Raymondville,Weather,18.8,90,AI Navigation,Low,"China, UK",41
Japan,2017,Persistent heuristic process improvement,Unmanned,Fischerfort,Research,6.12,94,Solar Propulsion,Medium,"India, Germany, China",253
UK,2000,Ameliorated object-oriented framework,Unmanned,North Troystad,Spy,25.55,58,Solar Propulsion,Medium,Germany,117
Japan,2016,Quality-focused incremental moderator,Unmanned,North Richardbury,Research,25.52,52,Reusable Rocket,Medium,China,157
Japan,2012,Progressive even-keeled matrices,Unmanned,Jennifermouth,Communication,21.75,79,AI Navigation,Low,France,135
China,2021,Cross-group bandwidth-monitored core,Manned,Nicolebury,Navigation,31.13,92,Solar Propulsion,Medium,"India, Russia, Israel",203
India,2008,Profit-focused secondary frame,Manned,Michaelburgh,Navigation,48.05,94,Reusable Rocket,Low,"Japan, Israel, France",74
China,2010,Organic actuating attitude,Unmanned,North Brandi,Communication,7.7,77,Reusable Rocket,Low,UAE,179
UK,2024,Adaptive local structure,Unmanned,Richardshaven,Research,17.98,78,Solar Propulsion,High,"Israel, Russia, USA",176
UAE,2005,Synergized hybrid hardware,Manned,West Yolanda,Weather,10.98,52,Nuclear Propulsion,Medium,"UK, Germany",134
UK,2015,Integrated grid-enabled project,Manned,Lake Zoefurt,Communication,0.91,62,Traditional Rocket,High,Russia,328
USA,2016,Extended global collaboration,Unmanned,Hornstad,Communication,18.28,96,Traditional Rocket,Low,"UK, India",244
UK,2021,Synchronized clear-thinking functionalities,Manned,Nicolemouth,Research,45.79,96,Solar Propulsion,Low,"USA, Israel",346
Russia,2019,Cross-platform clear-thinking circuit,Unmanned,Bowmanmouth,Weather,2.27,80,Nuclear Propulsion,High,"Russia, China, France",71
Israel,2016,De-engineered value-added extranet,Manned,Port Andreston,Navigation,49.58,97,Traditional Rocket,High,"Germany, France, USA",103
India,2023,Multi-channeled methodical paradigm,Unmanned,Lake Margaret,Weather,25.6,78,Solar Propulsion,Low,Germany,7
China,2025,Open-source radical encryption,Unmanned,Walkerborough,Navigation,10.63,90,Traditional Rocket,High,UAE,119
Japan,2024,Re-contextualized uniform implementation,Unmanned,Annamouth,Communication,15.42,50,Solar Propulsion,High,"Japan, USA, China",339
China,2002,Secured hybrid forecast,Manned,Port William,Weather,49.33,72,Traditional Rocket,High,"Germany, China, UK",244
Israel,2008,Grass-roots bi-directional utilization,Manned,Port Emily,Spy,18.54,100,Solar Propulsion,Medium,India,123
Israel,2021,Exclusive static orchestration,Unmanned,New Jeremiah,Weather,38.17,98,Solar Propulsion,Medium,"UK, India, Israel",206
India,2012,Focused 4thgeneration access,Unmanned,South Jacqueline,Research,19.58,96,Traditional Rocket,Medium,"India, USA, Israel",74
Israel,2007,Seamless impactful model,Manned,Simonborough,Weather,17.86,64,Solar Propulsion,Medium,Japan,332
UK,2025,Decentralized uniform implementation,Unmanned,Nielsenside,Weather,47.87,71,Solar Propulsion,Medium,Israel,65
Japan,2005,Front-line intangible monitoring,Unmanned,North Maryhaven,Weather,35.76,84,AI Navigation,High,Germany,316
USA,2020,Customizable grid-enabled function,Manned,East Deannatown,Weather,38.57,58,AI Navigation,Medium,Japan,29
Germany,2011,Ameliorated global concept,Unmanned,Walkertown,Navigation,34.91,65,AI Navigation,High,"UK, UAE, India",188
Israel,2000,Visionary client-driven core,Manned,Jessicastad,Research,9.26,62,Nuclear Propulsion,Low,Israel,95
Russia,2023,Vision-oriented systemic challenge,Manned,Jacquelinefurt,Research,28.65,60,Solar Propulsion,Medium,"China, UK",37
UAE,2022,Fully-configurable executive matrices,Unmanned,Janetport,Spy,6.74,67,Reusable Rocket,High,USA,237
UAE,2021,Pre-emptive 5thgeneration benchmark,Manned,Lake Erika,Communication,11.66,82,Traditional Rocket,Medium,"USA, UAE, Germany",90
Israel,2003,Enterprise-wide cohesive hierarchy,Manned,Walshstad,Communication,47.97,95,Traditional Rocket,High,UK,53
UK,2019,Persevering full-range open architecture,Manned,South Donna,Communication,11.54,52,Nuclear Propulsion,High,"UK, Russia, Israel",307
China,2006,Automated dynamic frame,Unmanned,Greenbury,Research,14.54,85,Solar Propulsion,High,Israel,122
Israel,2014,Streamlined human-resource infrastructure,Manned,Simmonsborough,Navigation,42.01,76,AI Navigation,Low,"China, Japan",252
India,2017,Self-enabling stable open architecture,Unmanned,Robertfort,Research,15.64,54,Traditional Rocket,Low,"UK, UAE, China",98
USA,2021,Compatible 4thgeneration benchmark,Manned,Ochoatown,Spy,34.08,79,Solar Propulsion,Medium,UAE,331
USA,2004,Implemented leadingedge capability,Manned,Sotoborough,Navigation,8.92,51,Reusable Rocket,High,Russia,243
China,2020,Distributed explicit open architecture,Manned,Ryanshire,Spy,6.64,88,Solar Propulsion,High,"USA, Israel, Germany",337
China,2020,Reverse-engineered homogeneous attitude,Manned,Mendozaland,Research,12.21,58,Traditional Rocket,Medium,"USA, India",129
India,2019,Persevering empowering methodology,Manned,Lake Danielview,Weather,30.52,65,Traditional Rocket,Medium,USA,118
China,2016,Programmable 4thgeneration portal,Unmanned,New Shawn,Spy,21.93,71,Reusable Rocket,Low,"Germany, India, Israel",269
France,2024,Cloned bandwidth-monitored firmware,Manned,Amandaborough,Research,26.8,87,AI Navigation,Low,"France, Japan",198
UAE,2022,Customizable global customer loyalty,Unmanned,East Holly,Navigation,34.29,75,Traditional Rocket,Low,UAE,199
France,2012,Triple-buffered leadingedge complexity,Manned,Michelleborough,Navigation,31.11,95,Nuclear Propulsion,Medium,"UAE, UK, Japan",138
UK,2006,Focused value-added definition,Unmanned,Port Michelleland,Navigation,25.88,89,Nuclear Propulsion,Medium,"Germany, France",326
USA,2024,Operative uniform archive,Unmanned,Lake Thomas,Research,36.97,96,Reusable Rocket,High,"USA, China, Russia",15
Israel,2014,Public-key 3rdgeneration database,Manned,West Caleb,Spy,40.67,55,Nuclear Propulsion,Low,"India, Japan",247
USA,2002,Customizable dynamic open system,Manned,Patrickfort,Navigation,5.3,52,Reusable Rocket,Medium,Japan,165
Israel,2023,Assimilated human-resource groupware,Manned,Teresaview,Research,18.25,54,Nuclear Propulsion,High,"Russia, UK",272
Japan,2020,Function-based well-modulated time-frame,Manned,Port Zachary,Weather,19.23,81,Solar Propulsion,Low,"Russia, Germany",285
Japan,2016,Organic reciprocal middleware,Manned,South Trevorberg,Navigation,9.32,92,Traditional Rocket,Medium,"USA, UAE",345
UK,2006,Face-to-face methodical Internet solution,Manned,Russellville,Spy,34.7,67,Reusable Rocket,Medium,"Germany, Israel",208
India,2014,Down-sized high-level analyzer,Unmanned,Port Gary,Research,19.84,50,Traditional Rocket,High,"Germany, China",20
USA,2020,Organized executive capability,Manned,Port Jeffrey,Research,28.13,73,Traditional Rocket,Medium,"China, UK",342
India,2009,Cross-platform 5thgeneration productivity,Manned,Sharonfort,Navigation,31.55,74,Reusable Rocket,Low,"UAE, China",63
Israel,2016,Self-enabling 6thgeneration data-warehouse,Manned,Tuckerview,Navigation,25.0,56,Traditional Rocket,High,"UK, USA, China",147
